iter	MultiClass
0	1.098195061
1	1.097602119
2	1.097191929
3	1.09667498
4	1.096102226
5	1.095760114
6	1.095173325
7	1.094644172
8	1.093998727
9	1.093529887
10	1.093041151
11	1.092493067
12	1.092046471
13	1.091655641
14	1.090957055
15	1.090475191
16	1.090036736
17	1.089458281
18	1.088995026
19	1.088327092
20	1.087953271
21	1.087526308
22	1.086710238
23	1.086158518
24	1.085612656
25	1.084977337
26	1.084315467
27	1.083837054
28	1.083547142
29	1.083061594
30	1.082357008
31	1.081963989
32	1.081217606
33	1.080504551
34	1.080147566
35	1.079536136
36	1.079207383
37	1.078770206
38	1.078058645
39	1.077465417
40	1.076974326
41	1.0765324
42	1.076067764
43	1.075684046
44	1.075180031
45	1.074601257
46	1.074105869
47	1.073524827
48	1.073093763
49	1.072621087
50	1.072077491
51	1.071624247
52	1.070989592
53	1.070469847
54	1.070151893
55	1.069577049
56	1.069137294
57	1.06852866
58	1.06817554
59	1.067580317
60	1.067140063
61	1.066598686
62	1.066175782
63	1.065408818
64	1.065045323
65	1.06457027
66	1.064028873
67	1.063422717
68	1.063001976
69	1.062515946
70	1.062134136
71	1.06171371
72	1.061285831
73	1.060796682
74	1.060373799
75	1.059827147
76	1.059388118
77	1.058984468
78	1.058366666
79	1.057909419
80	1.057309817
81	1.056731527
82	1.056110295
83	1.055568564
84	1.05506808
85	1.054504295
86	1.053982848
87	1.053437009
88	1.052971449
89	1.052437333
90	1.051911951
91	1.051633377
92	1.051175933
93	1.050751328
94	1.05022229
95	1.049779216
96	1.049383775
97	1.048865715
98	1.048155193
99	1.047655974
100	1.047097852
101	1.046566616
102	1.04591612
103	1.045392046
104	1.044851291
105	1.044395703
106	1.043906852
107	1.04343539
108	1.043006303
109	1.042319358
110	1.041920289
111	1.041279381
112	1.040990054
113	1.040454777
114	1.040194913
115	1.039566779
116	1.039080051
117	1.03857312
118	1.038095651
119	1.037601706
120	1.03711932
121	1.036370779
122	1.036045753
123	1.035356613
124	1.034881412
125	1.03438612
126	1.033870759
127	1.033360864
128	1.033004191
129	1.032584163
130	1.032053711
131	1.031452493
132	1.031047249
133	1.030598515
134	1.030200626
135	1.029630758
136	1.029115226
137	1.028584508
138	1.027944468
139	1.027494603
140	1.027136429
141	1.026816729
142	1.026213584
143	1.025923256
144	1.025278699
145	1.024777459
146	1.02440884
147	1.024010306
148	1.023515808
149	1.022957609
150	1.022651687
151	1.022193036
152	1.021836399
153	1.021501945
154	1.021011403
155	1.02050774
156	1.020015195
157	1.019482282
158	1.019065963
