iter	Passed	Remaining
0	104	104358
1	184	92125
2	214	71386
3	238	59367
4	261	52029
5	282	46838
6	305	43378
7	327	40645
8	348	38420
9	369	36585
10	390	35124
11	420	34608
12	442	33633
13	466	32855
14	490	32179
15	522	32147
16	576	33336
17	691	37711
18	743	38396
19	792	38827
20	928	43300
21	1009	44867
22	1062	45146
23	1101	44781
24	1149	44848
25	1178	44161
26	1202	43344
27	1224	42509
28	1248	41789
29	1267	40973
30	1285	40187
31	1305	39496
32	1324	38804
33	1341	38127
34	1360	37500
35	1379	36943
36	1398	36406
37	1417	35885
38	1435	35363
39	1452	34863
40	1470	34395
41	1488	33962
42	1522	33886
43	1570	34122
44	1667	35392
45	1767	36654
46	1815	36812
47	1856	36830
48	1892	36733
49	1927	36629
50	1948	36252
51	1967	35864
52	1988	35538
53	2010	35218
54	2030	34884
55	2054	34631
56	2075	34334
57	2095	34030
58	2116	33762
59	2140	33539
60	2161	33280
61	2183	33028
62	2203	32779
63	2228	32595
64	2252	32403
65	2276	32209
66	2300	32041
67	2325	31871
68	2348	31683
69	2374	31546
70	2401	31426
71	2423	31235
72	2442	31022
73	2464	30841
74	2486	30660
75	2508	30496
76	2529	30323
77	2553	30188
78	2573	29998
79	2593	29830
80	2617	29696
81	2639	29547
82	2759	30492
83	2802	30562
84	2863	30828
85	2929	31137
86	3036	31870
87	3174	32899
88	3248	33253
89	3430	34685
90	3470	34662
91	3497	34514
92	3522	34356
93	3547	34189
94	3573	34046
95	3607	33972
96	3631	33807
97	3651	33609
98	3670	33405
99	3688	33199
100	3708	33005
101	3727	32817
102	3751	32670
103	3771	32493
104	3790	32313
105	3809	32132
106	3829	31963
107	3856	31848
108	3888	31787
109	3910	31640
110	3932	31493
111	3954	31355
112	3977	31225
113	3999	31084
114	4022	30956
115	4045	30825
116	4069	30714
117	4095	30609
118	4115	30469
119	4134	30321
120	4158	30209
121	4180	30087
122	4202	29965
123	4226	29859
124	4250	29752
125	4270	29621
126	4287	29475
127	4306	29336
128	4323	29194
129	4341	29057
130	4359	28919
131	4378	28791
132	4396	28658
133	4413	28525
134	4432	28397
135	4449	28268
136	4467	28142
137	4485	28017
138	4526	28035
139	4593	28214
140	4743	28897
141	4802	29019
142	4825	28918
143	4849	28826
144	4873	28739
145	4897	28646
146	4920	28552
147	4946	28475
148	4973	28403
149	4999	28331
150	5022	28238
151	5043	28138
152	5068	28058
153	5098	28010
154	5130	27968
155	5152	27878
156	5176	27793
157	5198	27702
158	5220	27611
159	5241	27517
160	5261	27416
161	5282	27323
162	5302	27227
163	5326	27149
164	5348	27064
165	5370	26981
166	5391	26891
167	5409	26788
168	5427	26689
169	5444	26584
170	5464	26491
171	5486	26412
172	5508	26330
173	5531	26260
174	5557	26200
175	5581	26131
176	5601	26046
177	5624	25972
178	5645	25895
179	5666	25816
180	5690	25747
181	5711	25670
182	5731	25589
183	5752	25511
184	5774	25438
185	5797	25372
186	5823	25318
187	5849	25263
188	5869	25187
189	5891	25114
190	5914	25050
191	5933	24970
192	5951	24886
193	5970	24805
194	5990	24727
195	6009	24650
196	6029	24578
197	6049	24505
198	6069	24430
199	6088	24353
200	6106	24273
201	6124	24195
202	6143	24119
203	6161	24043
204	6181	23973
205	6199	23894
206	6217	23819
207	6286	23936
208	6326	23943
209	6379	24000
210	6418	23999
211	6459	24010
212	6491	23986
213	6521	23951
214	6561	23958
215	6650	24137
216	6737	24309
217	6837	24528
218	7084	25264
219	7146	25338
220	7188	25337
221	7233	25351
222	7273	25342
223	7311	25328
224	7345	25299
225	7377	25266
226	7416	25254
227	7454	25241
228	7487	25210
229	7521	25179
230	7552	25143
231	7591	25131
232	7630	25119
233	7663	25086
234	7693	25043
235	7727	25017
236	7764	24995
237	7799	24972
238	7846	24982
239	7887	24977
240	7921	24946
241	7963	24942
242	7994	24904
243	8029	24877
244	8063	24850
245	8107	24848
246	8144	24829
247	8180	24805
248	8213	24772
249	8246	24739
250	8276	24698
251	8299	24634
252	8321	24570
253	8343	24505
254	8364	24436
255	8385	24371
256	8408	24309
257	8429	24243
258	8447	24168
259	8465	24095
260	8483	24019
261	8502	23949
262	8519	23875
263	8537	23802
264	8555	23729
265	8572	23656
266	8590	23583
267	8608	23512
268	8626	23441
269	8643	23370
270	8669	23320
271	8719	23337
272	8795	23421
273	8847	23442
274	8869	23384
275	8892	23327
276	8917	23274
277	8939	23215
278	8960	23155
279	8981	23096
280	9003	23038
281	9023	22974
282	9043	22912
283	9061	22845
284	9082	22785
285	9103	22727
286	9124	22669
287	9147	22615
288	9167	22552
289	9187	22494
290	9207	22433
291	9226	22371
292	9245	22309
293	9264	22248
294	9285	22189
295	9304	22130
296	9324	22071
297	9345	22014
298	9364	21954
299	9382	21892
300	9400	21831
301	9425	21784
302	9537	21940
303	9639	22069
304	9787	22302
305	9814	22259
306	9842	22218
307	9873	22184
308	9907	22156
309	9938	22121
310	9965	22078
311	9993	22037
312	10025	22005
313	10052	21960
314	10078	21916
315	10106	21875
316	10129	21824
317	10156	21781
318	10179	21730
319	10202	21681
320	10224	21627
321	10246	21574
322	10273	21533
323	10298	21487
324	10322	21439
325	10344	21386
326	10365	21333
327	10389	21285
328	10409	21229
329	10431	21178
330	10453	21127
331	10474	21076
332	10493	21018
333	10512	20961
334	10530	20904
335	10549	20847
336	10568	20791
337	10587	20735
338	10607	20682
339	10627	20628
340	10646	20575
341	10664	20517
342	10681	20460
343	10700	20405
344	10718	20349
345	10737	20296
346	10759	20247
347	10779	20195
348	10798	20142
349	10818	20090
350	10839	20041
351	10860	19993
352	10884	19950
353	10909	19908
354	10931	19860
355	10953	19815
356	10973	19763
357	10992	19712
358	11011	19661
359	11030	19609
360	11049	19559
361	11069	19509
362	11088	19458
363	11108	19409
364	11128	19361
365	11148	19311
366	11166	19260
367	11231	19288
368	11306	19333
369	11338	19306
370	11376	19288
371	11413	19267
372	11447	19243
373	11491	19234
374	11614	19356
375	11652	19338
376	11680	19303
377	11706	19263
378	11729	19219
379	11765	19197
380	11812	19192
381	11850	19171
382	11961	19270
383	12033	19304
384	12082	19300
385	12137	19306
386	12186	19303
387	12235	19299
388	12282	19291
389	12329	19283
390	12367	19263
391	12404	19240
392	12437	19210
393	12471	19182
394	12518	19174
395	12579	19187
396	12655	19222
397	12718	19236
398	12760	19221
399	12824	19236
400	12888	19251
401	12935	19242
402	12979	19227
403	13035	19230
404	13081	19217
405	13119	19193
406	13157	19170
407	13190	19139
408	13222	19106
409	13256	19076
410	13292	19049
411	13318	19007
412	13350	18975
413	13379	18938
414	13401	18891
415	13428	18851
416	13551	18945
417	13586	18917
418	13625	18893
419	13657	18860
420	13696	18836
421	13731	18807
422	13760	18770
423	13793	18738
424	13821	18699
425	13842	18651
426	13862	18602
427	13883	18554
428	13901	18502
429	13923	18456
430	13944	18409
431	13967	18364
432	13989	18318
433	14010	18272
434	14032	18226
435	14054	18181
436	14078	18137
437	14097	18088
438	14117	18041
439	14139	17995
440	14160	17949
441	14182	17904
442	14201	17855
443	14218	17805
444	14237	17756
445	14255	17707
446	14272	17656
447	14291	17608
448	14313	17565
449	14334	17519
450	14354	17473
451	14376	17430
452	14397	17384
453	14415	17336
454	14434	17289
455	14454	17243
456	14472	17195
457	14492	17150
458	14512	17104
459	14534	17061
460	14555	17017
461	14579	16977
462	14600	16934
463	14622	16891
464	14645	16849
465	14666	16806
466	14687	16762
467	14705	16716
468	14724	16670
469	14741	16623
470	14759	16577
471	14777	16530
472	14794	16483
473	14812	16437
474	14835	16396
475	14862	16360
476	14910	16348
477	14967	16345
478	15029	16347
479	15081	16337
480	15160	16357
481	15221	16358
482	15263	16337
483	15296	16307
484	15331	16279
485	15367	16252
486	15405	16228
487	15443	16202
488	15490	16187
489	15539	16173
490	15586	16158
491	15618	16126
492	15644	16088
493	15668	16049
494	15690	16007
495	15715	15968
496	15737	15927
497	15774	15901
498	15823	15886
499	15863	15863
500	15893	15830
501	15924	15797
502	15959	15769
503	15995	15741
504	16026	15708
505	16059	15678
506	16097	15652
507	16142	15633
508	16176	15604
509	16214	15578
510	16252	15552
511	16290	15527
512	16334	15506
513	16370	15478
514	16406	15451
515	16442	15422
516	16478	15394
517	16510	15363
518	16546	15335
519	16580	15305
520	16615	15275
521	16647	15244
522	16682	15214
523	16717	15185
524	16753	15158
525	16790	15130
526	16828	15103
527	16865	15076
528	16913	15058
529	16959	15039
530	17010	15024
531	17046	14996
532	17083	14967
533	17121	14941
534	17156	14911
535	17188	14879
536	17220	14847
537	17250	14813
538	17281	14780
539	17315	14750
540	17346	14717
541	17377	14684
542	17412	14654
543	17445	14623
544	17476	14590
545	17507	14557
546	17540	14526
547	17578	14498
548	17610	14466
549	17641	14434
550	17674	14402
551	17712	14375
552	17752	14349
553	17788	14320
554	17825	14292
555	17865	14266
556	17925	14256
557	17991	14251
558	18061	14248
559	18103	14224
560	18154	14206
561	18220	14200
562	18297	14202
563	18337	14176
564	18374	14146
565	18412	14118
566	18450	14090
567	18490	14063
568	18525	14032
569	18554	13997
570	18580	13959
571	18605	13921
572	18629	13882
573	18651	13842
574	18674	13803
575	18697	13763
576	18721	13724
577	18748	13688
578	18771	13649
579	18824	13631
580	18866	13605
581	18905	13577
582	18951	13555
583	18984	13522
584	19011	13486
585	19035	13448
586	19061	13411
587	19092	13377
588	19115	13338
589	19138	13299
590	19198	13286
591	19243	13262
592	19357	13285
593	19440	13287
594	19475	13256
595	19507	13223
596	19538	13189
597	19565	13152
598	19592	13116
599	19618	13079
600	19641	13039
601	19666	13002
602	19689	12963
603	19710	12922
604	19732	12883
605	19752	12842
606	19777	12804
607	19800	12765
608	19825	12728
609	19849	12690
610	19880	12656
611	19909	12622
612	19932	12583
613	19952	12543
614	19971	12502
615	19990	12461
616	20009	12420
617	20029	12380
618	20047	12339
619	20068	12299
620	20087	12259
621	20106	12218
622	20124	12178
623	20147	12139
624	20168	12101
625	20187	12061
626	20209	12022
627	20228	11982
628	20248	11942
629	20266	11902
630	20284	11861
631	20301	11821
632	20319	11780
633	20337	11740
634	20357	11701
635	20376	11661
636	20396	11623
637	20418	11585
638	20440	11547
639	20459	11508
640	20479	11469
641	20498	11430
642	20517	11391
643	20536	11352
644	20554	11312
645	20572	11273
646	20590	11234
647	20608	11194
648	20625	11154
649	20643	11115
650	20661	11076
651	20679	11037
652	20698	10998
653	20715	10959
654	20734	10920
655	20752	10882
656	20769	10843
657	20787	10804
658	20805	10766
659	20824	10727
660	20842	10689
661	20860	10651
662	20878	10612
663	20896	10574
664	20913	10535
665	20932	10497
666	20951	10459
667	20969	10421
668	20987	10383
669	21004	10345
670	21025	10308
671	21043	10271
672	21061	10233
673	21082	10197
674	21101	10159
675	21119	10122
676	21136	10084
677	21155	10047
678	21173	10009
679	21191	9972
680	21210	9935
681	21229	9898
682	21248	9861
683	21267	9825
684	21285	9788
685	21305	9751
686	21325	9716
687	21346	9680
688	21365	9644
689	21388	9609
690	21411	9574
691	21436	9541
692	21461	9507
693	21486	9473
694	21511	9440
695	21533	9405
696	21556	9370
697	21579	9336
698	21602	9302
699	21628	9269
700	21652	9235
701	21674	9201
702	21695	9165
703	21713	9129
704	21731	9093
705	21749	9057
706	21770	9022
707	21789	8986
708	21810	8951
709	21830	8916
